prefecture_code,prefecture_name,horizon,best_params,best_val_loss,mae_norm,rmse_norm,n_trials,n_train_samples,n_val_samples,hpo_test_done
14,神奈川県,1,"{""d_model"": 384, ""n_heads"": 8, ""patch_len"": 16, ""dropout"": 0.1, ""revin"": true, ""input_norm"": false, ""output_norm"": false, ""lr"": 0.001, ""batch_size"": 32}",0.0035817439124765,0.0246483441442251,0.0583986975252628,20,1984,496,True
14,神奈川県,2,"{""d_model"": 128, ""n_heads"": 8, ""patch_len"": 8, ""dropout"": 0.1, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",,0.14041235,0.2230607,20,1984,496,True
14,神奈川県,3,"{""d_model"": 128, ""n_heads"": 8, ""patch_len"": 32, ""dropout"": 0.1, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",,0.0483690947294235,0.0869013369083404,20,1984,496,True
14,神奈川県,4,"{""d_model"": 128, ""n_heads"": 8, ""patch_len"": 32, ""dropout"": 0.1, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",,0.040621232,0.08560346,20,1984,496,True
15,新潟県,1,"{""d_model"": 256, ""n_heads"": 8, ""patch_len"": 16, ""dropout"": 0.1, ""revin"": true, ""input_norm"": false, ""output_norm"": false, ""lr"": 0.001, ""batch_size"": 32}",0.0034717648391491,0.0165831223130226,0.0336566567420959,20,1984,496,True
15,新潟県,2,"{""d_model"": 128, ""n_heads"": 8, ""patch_len"": 16, ""dropout"": 0.1, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",,0.020866167,0.039285783,20,1984,496,True
15,新潟県,3,"{""d_model"": 128, ""n_heads"": 8, ""patch_len"": 16, ""dropout"": 0.1, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",,0.0476870983839035,0.0733774378895759,20,1984,496,True
15,新潟県,4,"{""d_model"": 384, ""n_heads"": 8, ""patch_len"": 32, ""dropout"": 0.1, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",,0.045455296,0.06908258,20,1984,496,True
16,富山県,1,"{""d_model"": 384, ""n_heads"": 8, ""patch_len"": 16, ""dropout"": 0.1, ""revin"": true, ""input_norm"": false, ""output_norm"": false, ""lr"": 0.001, ""batch_size"": 32}",0.005599808606935,0.0196148976683616,0.0453334338963031,20,1984,496,True
16,富山県,2,"{""d_model"": 384, ""n_heads"": 8, ""patch_len"": 8, ""dropout"": 0.1, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",,0.03023577,0.062205866,20,1984,496,True
16,富山県,3,"{""d_model"": 384, ""n_heads"": 8, ""patch_len"": 8, ""dropout"": 0.1, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",,0.0579211860895156,0.0984384194016456,20,1984,496,True
16,富山県,4,"{""d_model"": 384, ""n_heads"": 8, ""patch_len"": 16, ""dropout"": 0.1, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",,0.067579,0.10420356,20,1984,496,True
17,石川県,1,"{""d_model"": 128, ""n_heads"": 8, ""patch_len"": 16, ""dropout"": 0.1, ""revin"": true, ""input_norm"": false, ""output_norm"": false, ""lr"": 0.001, ""batch_size"": 32}",0.0042213747698453,0.0248497985303401,0.0502491071820259,20,1984,496,True
17,石川県,2,"{""d_model"": 256, ""n_heads"": 16, ""patch_len"": 8, ""dropout"": 0.1, ""lr"": 0.00010519529633398396, ""batch_size"": 32, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",0.001281760171405,0.0322517752647399,0.060223925858736,20,1587,397,True
